2019-04-14 12:50:35.387 - client : c1 with account number :10006 , transactin : 1, amount: -300 condition id: true
2019-04-15 13:04:46.698 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.699 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.703 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.704 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.705 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.709 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.710 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.711 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.716 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.717 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.718 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.723 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.724 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.725 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.730 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.730 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.731 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.795 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.796 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.797 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.799 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.800 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.800 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.802 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.805 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.807 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.808 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.812 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.813 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.815 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.818 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.819 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.820 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.824 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.825 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.826 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.830 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.831 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.832 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.836 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.838 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.839 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.842 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.843 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.844 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.848 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.849 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.850 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.855 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.856 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.860 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.861 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.862 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.866 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.867 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.868 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.872 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.873 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.878 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.880 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.881 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.884 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.885 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.886 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.890 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.891 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.892 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.896 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.897 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.898 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.902 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.903 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.904 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.908 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.909 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.910 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.914 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.915 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.916 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.920 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.921 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.930 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.931 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.946 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.951 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.952 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.953 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.957 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.957 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.958 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.963 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.964 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.965 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.969 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.970 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.971 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.980 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.981 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.983 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.986 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.988 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.989 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.992 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.992 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.993 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.998 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.000 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.001 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.004 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.006 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.007 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.010 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.011 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.012 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.016 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.017 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.018 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.022 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.023 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.024 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.031 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.032 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.033 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.038 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.039 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.040 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.043 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.044 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.045 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.046 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.050 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.051 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.053 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.055 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.057 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.059 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.062 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.065 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.067 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.068 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.068 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.089 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.090 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.092 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.093 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.093 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.098 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.099 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.100 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.104 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.105 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.106 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.110 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.111 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.112 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.116 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.117 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.118 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.122 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.123 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.123 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.128 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.129 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.137 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.139 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.139 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.140 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.141 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.142 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.142 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.143 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.143 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.144 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.145 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.145 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.146 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.147 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.147 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.148 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.149 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.149 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.150 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.150 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.151 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.152 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.152 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.153 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.154 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.154 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.155 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.156 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.156 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.157 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.158 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.159 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.160 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.161 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.166 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.166 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.167 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.172 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.173 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.174 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.178 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.179 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.180 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.184 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.184 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.185 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.190 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.191 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.191 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.196 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.197 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.198 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.202 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.203 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.205 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.208 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.210 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.210 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.214 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.215 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.216 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.221 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.222 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.223 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.226 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.227 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.228 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.232 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.233 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.234 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.239 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.241 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.243 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.244 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.245 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.246 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.247 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.247 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.248 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.249 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.250 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.250 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.251 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.252 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.252 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.254 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.255 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.256 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.256 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.258 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.260 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.261 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.271 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.272 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.273 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.276 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.277 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.279 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.282 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.283 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.284 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.288 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.291 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.293 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.295 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.296 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.306 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.307 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.308 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.309 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.310 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.311 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.312 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.313 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.314 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.315 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.316 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.317 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.318 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.320 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.321 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.321 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.323 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.323 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.324 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.326 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:47.327 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
