2019-04-14 12:50:35.126 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-16 17:41:53.861 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-16 17:41:55.861 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-16 17:41:57.861 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-16 17:41:59.861 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-16 17:43:49.412 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-16 17:43:50.975 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-16 17:43:52.975 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-16 17:43:54.975 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-16 17:43:56.975 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-16 17:44:08.849 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-16 17:44:10.414 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-16 17:44:12.414 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-16 17:44:14.414 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-16 17:44:16.414 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-16 17:45:05.027 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-16 17:45:06.598 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-16 17:45:08.598 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-16 17:45:10.598 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-16 17:45:12.598 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-16 17:46:15.931 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-16 17:46:17.461 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-16 17:46:19.461 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-16 17:46:21.461 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-16 17:46:23.461 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-16 18:06:13.310 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-16 18:06:14.861 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-16 18:06:16.862 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-16 18:06:18.862 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-16 18:06:20.862 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-16 18:15:11.720 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-16 18:15:13.252 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-16 18:15:15.253 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-16 18:15:17.253 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-16 18:15:19.254 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-16 18:19:55.686 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-16 18:19:57.257 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-16 18:19:59.258 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-16 18:20:01.258 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-16 18:20:03.258 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-16 18:27:10.206 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-16 18:27:11.758 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-16 18:27:13.758 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-16 18:27:15.759 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-16 18:27:17.759 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-16 18:27:39.622 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-16 18:27:41.176 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-16 18:27:43.176 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-16 18:27:45.176 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-16 18:27:47.176 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-16 18:34:30.652 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-16 18:34:32.217 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-16 18:34:34.218 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-16 18:34:36.218 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-16 18:34:38.218 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-16 18:34:58.871 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-16 18:35:00.425 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-16 18:35:02.425 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-16 18:35:04.425 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-16 18:35:06.425 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-16 18:36:21.174 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-16 18:36:22.743 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-16 18:36:24.743 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-16 18:36:26.743 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-16 18:36:28.743 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-16 18:37:06.106 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-16 18:37:07.670 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-16 18:37:09.670 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-16 18:37:11.671 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-16 18:37:13.671 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-16 18:38:48.807 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-16 18:38:50.366 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-16 18:38:52.366 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-16 18:38:54.366 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-16 18:38:56.367 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-16 18:39:18.387 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-16 18:39:19.919 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-16 18:39:21.919 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-16 18:39:23.919 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-16 18:39:25.919 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
2019-04-16 18:40:21.976 [Thread-0] REQUEST requestLogger - client : c1 with account number :10006 , transactin : 1, amount: -300
2019-04-16 18:40:23.509 [Thread-0] REQUEST requestLogger - client : c1 with account number :10002 , transactin : 2, amount: -100
2019-04-16 18:40:25.509 [Thread-0] REQUEST requestLogger - client : c1 with account number :10003 , transactin : 3, amount: 200
2019-04-16 18:40:27.509 [Thread-0] REQUEST requestLogger - client : c1 with account number :10004 , transactin : 4, amount: -100
2019-04-16 18:40:29.509 [Thread-0] REQUEST requestLogger - client : c1 with account number :10005 , transactin : 5, amount: 300
